iter	RMSE
0	29.71393501
1	418.1667428
2	12180.26317
3	357295.6837
4	10517029.96
5	310328480.7
6	9173706471
7	2.71573357e+11
8	8.048753555e+12
9	2.38772173e+14
10	7.089064957e+15
11	2.106180566e+17
12	6.261307476e+18
13	1.862369694e+20
14	5.542072893e+21
15	1.64991741e+23
16	4.913796986e+24
17	1.463933154e+26
18	4.36275114e+27
19	1.300536906e+29
20	3.877906504e+30
21	1.156578247e+32
22	3.450225065e+33
23	1.029454503e+35
24	3.072186756e+36
25	9.169863594e+37
26	2.737459043e+39
27	8.173293323e+40
28	2.440657895e+42
29	7.289087716e+43
30	2.177169899e+45
31	6.503708911e+46
32	1.943016701e+48
33	5.805450477e+49
34	1.734749547e+51
35	5.184141234e+52
36	1.549365746e+54
37	4.630908746e+55
38	1.384241468e+57
39	4.137987685e+58
40	1.237076926e+60
41	3.698562594e+61
42	1.105851147e+63
43	3.306637432e+64
44	9.887842572e+65
45	2.956926312e+67
46	8.843057645e+68
47	2.64476125e+70
48	7.91027678e+71
49	2.366013708e+73
50	7.077215744e+74
51	2.117027466e+76
52	6.332989231e+77
53	1.894560881e+79
54	5.667941223e+80
55	1.695737e+82
56	5.073498106e+83
57	1.518000267e+85
58	4.542041003e+86
59	1.359078849e+88
60	4.06679447e+89
61	1.216951727e+91
62	3.641729162e+92
63	1.089819891e+94
64	3.261476525e+95
65	9.760810615e+96
66	2.921253847e+98
67	8.743074572e+99
68	2.616798302e+101
69	7.832262183e+102
70	2.344308798e+104
71	7.017021286e+105
72	2.100394635e+107
73	6.287223523e+108
74	1.882030114e+110
75	5.63382932e+111
76	1.686514361e+113
77	5.048768313e+114
78	1.511435732e+116
79	4.524833349e+117
80	1.354640239e+119
81	4.055586441e+120
82	1.214203534e+122
83	3.63527526e+123
84	1.088406012e+125
85	3.258758934e+126
86	9.757106916e+127
87	2.921442066e+129
88	8.747435356e+130
89	2.619216041e+132
90	7.842759373e+133
91	2.34840677e+135
92	7.032091303e+136
93	2.105728162e+138
94	6.305602991e+139
95	1.88824066e+141
96	5.65450202e+142
97	1.693314293e+144
98	5.070921366e+145
99	1.518595717e+147
100	4.547820996e+148
101	1.361978832e+150
102	inf
